demand_heat,heat_pump
-24.636,24.636
-18.564,18.564
-19.855,19.855
-22.636,22.636
-22.673,22.673
-22.6,22.6
-17.782,17.782
-10.891,10.891
-24.527,24.527
-9.782,9.782
-23.418,23.418
-18.527,18.527
-6.927,6.927
-14.564,14.564
-10.6,10.6
-3.855,3.855
-4.855,4.855
-1.0,1.0
0.0,0.0
-1.0,1.0
-1.0,1.0
-24.964,24.964
-24.673,24.673
-17.782,17.782
-22.454,22.454
-22.491,22.491
-25.636,25.636
-10.964,10.964
-13.855,13.855
-24.6,24.6
-11.782,11.782
-18.709,18.709
-7.964,7.964
-19.527,19.527
-35.491,35.491
-21.454,21.454
-17.564,17.564
-8.891,8.891
-3.891,3.891
-9.636,9.636
0.0,0.0
-1.0,1.0
-0.964,0.964
-0.964,0.964
-0.964,0.964
-17.891,17.891
-7.745,7.745
0.0,0.0
0.0,0.0
0.0,0.0
-21.782,21.782
-28.782,28.782
-25.6,25.6
-17.818,17.818
-27.454,27.454
-14.927,14.927
-10.855,10.855
-14.855,14.855
-33.491,33.491
-26.564,26.564
-35.2,35.2
-18.6,18.6
-9.745,9.745
-3.855,3.855
0.0,0.0
-0.964,0.964
-1.0,1.0
-0.964,0.964
0.0,0.0
-21.964,21.964
-24.673,24.673
-12.673,12.673
-17.6,17.6
-20.673,20.673
-24.527,24.527
-9.855,9.855
-27.418,27.418
-20.6,20.6
-21.782,21.782
-10.855,10.855
-12.891,12.891
-13.782,13.782
-28.345,28.345
-25.454,25.454
-12.855,12.855
-20.454,20.454
-5.782,5.782
-3.891,3.891
-1.964,1.964
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-26.964,26.964
-24.927,24.927
-12.927,12.927
-18.673,18.673
-28.491,28.491
-17.6,17.6
-12.818,12.818
-23.527,23.527
-33.345,33.345
-20.818,20.818
-16.745,16.745
-12.673,12.673
-21.382,21.382
-31.491,31.491
-29.527,29.527
-12.855,12.855
-11.818,11.818
-8.709,8.709
-4.818,4.818
0.0,0.0
0.0,0.0
-0.964,0.964
-0.964,0.964
-0.964,0.964
-23.964,23.964
-36.636,36.636
-16.782,16.782
-13.855,13.855
-22.673,22.673
-17.891,17.891
-14.818,14.818
-22.709,22.709
-21.6,21.6
-22.745,22.745
-7.927,7.927
-9.891,9.891
-10.891,10.891
-28.709,28.709
-21.527,21.527
-10.855,10.855
-10.927,10.927
-2.927,2.927
-1.964,1.964
