demand_heat,district_heating_industry
0.0,0.0
-3.628,3.628
-2.628,2.628
-2.628,2.628
-37.628,37.628
-81.256,81.256
-76.653,76.653
-72.397,72.397
-73.909,73.909
-59.769,59.769
-67.769,67.769
-69.653,69.653
-82.421,82.421
-57.14,57.14
-56.769,56.769
-54.769,54.769
-48.512,48.512
-54.769,54.769
-76.165,76.165
-64.165,64.165
-55.397,55.397
-23.397,23.397
-24.025,24.025
-6.256,6.256
-2.0,2.0
-4.628,4.628
-2.628,2.628
-2.628,2.628
-34.628,34.628
-86.884,86.884
-63.14,63.14
-88.281,88.281
-64.14,64.14
-63.14,63.14
-74.025,74.025
-85.677,85.677
-55.769,55.769
-64.14,64.14
-52.884,52.884
-32.0,32.0
-56.025,56.025
-45.512,45.512
-72.281,72.281
-52.512,52.512
-47.769,47.769
-15.884,15.884
-10.628,10.628
-10.884,10.884
0.0,0.0
0.0,0.0
-1.0,1.0
0.0,0.0
-43.256,43.256
-71.884,71.884
-58.256,58.256
-67.025,67.025
-61.512,61.512
-113.934,113.934
-71.025,71.025
-96.793,96.793
-84.793,84.793
-53.884,53.884
-67.025,67.025
-64.653,64.653
-68.281,68.281
-61.397,61.397
-63.281,63.281
-48.512,48.512
-49.512,49.512
-15.884,15.884
-12.256,12.256
-8.884,8.884
-9.884,9.884
-8.256,8.256
0.0,0.0
-2.628,2.628
-41.884,41.884
-72.628,72.628
-68.14,68.14
-76.281,76.281
-58.512,58.512
-56.14,56.14
-75.653,75.653
-54.884,54.884
-65.397,65.397
-61.769,61.769
-48.769,48.769
-52.512,52.512
-59.025,59.025
-51.769,51.769
-47.14,47.14
-70.793,70.793
-62.909,62.909
-13.256,13.256
-17.14,17.14
-4.628,4.628
-2.628,2.628
-2.0,2.0
-2.0,2.0
-5.256,5.256
-31.0,31.0
-89.512,89.512
-67.397,67.397
-83.793,83.793
-55.884,55.884
-75.397,75.397
-57.14,57.14
-62.769,62.769
-67.653,67.653
-43.256,43.256
-44.256,44.256
-42.512,42.512
-48.512,48.512
-69.653,69.653
-77.793,77.793
-63.909,63.909
-78.677,78.677
-18.14,18.14
-10.256,10.256
-2.628,2.628
-1.0,1.0
-2.0,2.0
0.0,0.0
-5.256,5.256
-37.628,37.628
-79.884,79.884
-61.512,61.512
-71.025,71.025
-65.884,65.884
-60.884,60.884
-52.884,52.884
-68.025,68.025
-64.397,64.397
-55.884,55.884
-47.884,47.884
-58.14,58.14
-56.14,56.14
-71.281,71.281
-79.049,79.049
-65.909,65.909
-52.512,52.512
-6.628,6.628
-23.769,23.769
-10.512,10.512
-15.769,15.769
-1.0,1.0
-1.0,1.0
-1.0,1.0
-36.0,36.0
-92.397,92.397
-67.14,67.14
-80.909,80.909
-73.769,73.769
-54.256,54.256
-53.256,53.256
-71.281,71.281
-72.281,72.281
-51.564,51.564
-52.045,52.045
-59.929,59.929
-52.045,52.045
-73.069,73.069
-88.838,88.838
-67.813,67.813
-46.789,46.789
-41.532,41.532
-52.045,52.045
-36.276,36.276
-38.904,38.904
-36.276,36.276
-41.532,41.532
-36.276,36.276
-36.276,36.276
-59.929,59.929
-44.161,44.161
-41.532,41.532
-46.789,46.789
-54.673,54.673
-46.789,46.789
-52.045,52.045
-59.929,59.929
-49.417,49.417
-59.929,59.929
-49.417,49.417
-67.813,67.813
-44.161,44.161
-59.929,59.929
-67.813,67.813
-52.045,52.045
-41.532,41.532
-49.417,49.417
-41.532,41.532
-36.276,36.276
-36.276,36.276
-36.276,36.276
-36.276,36.276
-36.276,36.276
-38.904,38.904
-54.673,54.673
-54.673,54.673
-52.045,52.045
-62.557,62.557
-54.673,54.673
-57.301,57.301
-73.069,73.069
-41.532,41.532
-44.161,44.161
-52.045,52.045
-61.211,61.211
-52.583,52.583
-70.352,70.352
-68.352,68.352
-55.583,55.583
-44.955,44.955
-35.071,35.071
-32.443,32.443
-29.815,29.815
-27.187,27.187
-27.187,27.187
-27.187,27.187
-40.815,40.815
-61.443,61.443
-51.071,51.071
-67.839,67.839
-60.583,60.583
-63.583,63.583
-62.211,62.211
-74.98,74.98
-59.583,59.583
-73.352,73.352
-54.327,54.327
-55.583,55.583
-56.955,56.955
-60.839,60.839
-73.98,73.98
-55.955,55.955
-55.327,55.327
-49.211,49.211
-46.583,46.583
-22.085,22.085
-19.457,19.457
-18.457,18.457
-12.122,12.122
-5.628,5.628
-47.0,47.0
-93.769,93.769
-88.025,88.025
-99.677,99.677
-69.884,69.884
-80.769,80.769
-80.397,80.397
-62.512,62.512
-101.934,101.934
-73.397,73.397
-52.884,52.884
-59.256,59.256
-66.397,66.397
-58.512,58.512
-93.049,93.049
-54.512,54.512
-68.281,68.281
-20.512,20.512
-15.14,15.14
-6.256,6.256
-3.628,3.628
-1.0,1.0
-2.628,2.628
0.0,0.0
-42.0,42.0
-111.14,111.14
-81.512,81.512
-87.909,87.909
-91.537,91.537
-92.909,92.909
-76.769,76.769
-66.512,66.512
-79.281,79.281
-58.769,58.769
-55.512,55.512
-65.397,65.397
-69.397,69.397
-64.512,64.512
-65.281,65.281
-68.909,68.909
-51.512,51.512
-9.628,9.628
-20.769,20.769
-2.628,2.628
-1.0,1.0
0.0,0.0
-1.0,1.0
0.0,0.0
-49.256,49.256
-94.769,94.769
-66.256,66.256
-79.281,79.281
-70.884,70.884
-67.512,67.512
-98.677,98.677
-58.256,58.256
-70.281,70.281
-57.769,57.769
-55.397,55.397
-40.884,40.884
-39.884,39.884
-64.397,64.397
-113.586,113.586
-72.421,72.421
-46.256,46.256
-14.884,14.884
-13.512,13.512
-12.512,12.512
-3.0,3.0
-4.628,4.628
0.0,0.0
0.0,0.0
-43.0,43.0
-107.281,107.281
-64.884,64.884
-87.281,87.281
-66.884,66.884
-74.769,74.769
-76.025,76.025
-57.512,57.512
-85.165,85.165
-55.884,55.884
-52.884,52.884
-45.512,45.512
-61.653,61.653
-65.165,65.165
-56.769,56.769
-64.165,64.165
-85.677,85.677
-9.256,9.256
-33.909,33.909
-11.512,11.512
-1.0,1.0
0.0,0.0
-3.628,3.628
0.0,0.0
-41.628,41.628
-90.397,90.397
-71.653,71.653
-83.165,83.165
-60.14,60.14
-75.025,75.025
-69.512,69.512
-76.537,76.537
-49.769,49.769
-44.14,44.14
-47.397,47.397
-43.884,43.884
-44.256,44.256
-52.769,52.769
-30.029,30.029
-34.029,34.029
-34.029,34.029
-3.029,3.029
-8.029,8.029
-2.029,2.029
-3.029,3.029
-0.029,0.029
-1.029,1.029
-0.029,0.029
-39.029,39.029
-69.029,69.029
-51.029,51.029
-51.029,51.029
-56.029,56.029
-52.029,52.029
-46.029,46.029
-47.029,47.029
-42.029,42.029
-36.029,36.029
-33.029,33.029
-27.029,27.029
-31.029,31.029
-33.029,33.029
-33.029,33.029
-32.029,32.029
-27.029,27.029
-8.029,8.029
-4.029,4.029
-2.029,2.029
-0.029,0.029
-0.029,0.029
-1.029,1.029
-0.029,0.029
-32.029,32.029
-71.029,71.029
-49.029,49.029
-51.029,51.029
-50.029,50.029
-57.029,57.029
-46.029,46.029
-41.029,41.029
-36.029,36.029
-33.029,33.029
-31.029,31.029
-24.029,24.029
-36.029,36.029
-32.029,32.029
-34.029,34.029
-29.029,29.029
-27.029,27.029
-4.029,4.029
-7.029,7.029
-0.029,0.029
-0.029,0.029
-1.029,1.029
-0.029,0.029
-0.029,0.029
-35.029,35.029
-64.029,64.029
-52.029,52.029
-46.029,46.029
-42.029,42.029
-46.029,46.029
-46.029,46.029
-39.029,39.029
-34.029,34.029
-33.029,33.029
-30.029,30.029
-23.029,23.029
-35.029,35.029
-27.029,27.029
-34.029,34.029
-34.029,34.029
-32.029,32.029
-4.029,4.029
-4.029,4.029
-2.029,2.029
-2.029,2.029
-1.029,1.029
-1.029,1.029
-0.029,0.029
-26.029,26.029
-69.029,69.029
-47.029,47.029
-40.029,40.029
-42.029,42.029
-39.029,39.029
-38.029,38.029
-30.029,30.029
-30.029,30.029
-29.642,29.642
-32.884,32.884
-59.653,59.653
-56.909,56.909
-72.421,72.421
-61.421,61.421
-59.281,59.281
-43.025,43.025
-9.628,9.628
-15.14,15.14
-6.256,6.256
-1.0,1.0
0.0,0.0
0.0,0.0
-2.628,2.628
-24.628,24.628
