demand_electricity,pv,battery,import,export_pv
-0.0,0.0,0.0,1.3899226065241297,0.0
-0.0,0.0,-0.806912735076815,-0.0,0.0
-0.0,0.0,0.6535993154122203,0.8569645895344435,0.0
-0.0,0.0,0.0,1.5020796180507683,0.0
-0.0,0.0,0.0,2.0105572360015262,0.0
-0.0,0.0,0.0,1.4749999999985448,0.0
-0.0,0.0,0.0,1.488510000003662,0.0
-0.0,0.0,0.0,1.986254999998491,0.0
-0.0,0.0,0.0,3.4928600000010923,0.0
-0.0,0.0,0.0,2.1165000000000873,0.0
-0.0,0.0,0.0,1.8420699999979115,0.0
-0.0,0.0,0.0,1.3169799999988754,0.0
-0.0,0.0,0.0,1.2781649999994988,0.0
-0.0,0.0,0.0,1.071735000002518,0.0
-0.0,0.0,0.0,0.8494499999996332,0.0
-0.0,0.0,0.0,0.5004000000000816,0.0
-0.0,0.0,0.0,0.4033999999999651,0.0
-0.0,0.0,0.0,0.45519999999814903,0.0
-0.0,0.0,0.0,0.42084000000017113,0.0
-0.0,0.0,0.0,0.5768400000003748,0.0
-0.0,0.0,0.0,0.829200000000419,0.0
-0.0,0.0,0.0,0.8948442225003783,0.0
-0.0,0.0,0.0,0.4543648629010897,0.0
-0.0,0.0,0.0,1.1842766262475262,0.0
-0.0,0.0,0.0,0.839180512800894,0.0
-0.0,0.0,-15.649526010307559,-0.0,0.0
-0.0,0.0,-5.933365977881154,-0.0,0.0
-0.0,0.0,12.404162085743303,-0.0,0.0
-0.0,0.0,5.077980424689556,0.9772640343858819,0.0
-0.0,0.0,0.0,1.2791999999986727,0.0
-0.0,0.0,0.0,2.5220700000000944,0.0
-0.0,0.0,0.0,2.5547400000018388,0.0
-0.0,0.0,0.0,3.0627999999978055,0.0
-0.0,0.0,0.0,2.8099999999976717,0.0
-0.0,0.0,0.0,1.7164800000039395,0.0
-0.0,0.0,0.0,1.5685999999982596,0.0
-0.0,0.0,0.0,1.450470000001369,0.0
-0.0,0.0,0.0,1.1565399999995134,0.0
-0.0,0.0,0.0,0.6085800000002201,0.0
-0.0,0.0,0.0,0.5719999999986612,0.0
-0.0,0.0,0.0,0.43920000000071013,0.0
-0.0,0.0,0.0,0.46860000000015134,0.0
-0.0,0.0,0.0,0.46279999999969734,0.0
-0.0,0.0,0.0,0.4228399999997055,0.0
-0.0,0.0,0.0,0.7647499999993307,0.0
-0.0,0.0,0.0,0.7455366275992316,0.0
-0.0,0.0,0.0,0.6351825570015088,0.0
-0.0,0.0,0.0,0.2572482624002512,0.0
-0.0,0.0,0.0,0.29810902829958513,0.0
-0.0,0.0,-12.768722454067804,-0.0,0.0
-0.0,0.0,2.343239183030207,-0.0,0.0
-0.0,0.0,7.999426004764715,1.0433752998297177,0.0
-0.0,0.0,0.0,1.27584543092666,0.0
-0.0,0.0,0.0,1.5040799999964656,0.0
-0.0,0.0,0.0,2.34204000000027,0.0
-0.0,0.0,0.0,3.3426000000021303,0.0
-0.0,0.0,0.0,3.781599999998143,0.0
-0.0,0.0,0.0,2.783480000003765,0.0
-0.0,0.0,0.0,2.3128799999988403,0.0
-0.0,0.0,0.0,1.7489199999981793,0.0
-0.0,0.0,0.0,1.1506900000009774,0.0
-0.0,0.0,0.0,0.981859999999142,0.0
-0.0,0.0,0.0,0.7270000000018627,0.0
-0.0,0.0,0.0,0.456600000000617,0.0
-0.0,0.0,0.0,0.43025499999814204,0.0
-0.0,0.0,0.0,0.35648999999961234,0.0
-0.0,0.0,0.0,0.3677100000000792,0.0
-0.0,0.0,0.0,0.3772799999995914,0.0
-0.0,0.0,0.0,0.5122400000006746,0.0
-0.0,0.0,0.0,0.5972932316273004,0.0
-0.0,0.0,0.0,0.718312100948695,0.0
-0.0,0.0,0.0,0.11373011814878364,0.0
-0.0,0.0,0.0,0.5070788569003712,0.0
-0.0,0.0,-8.61163311120669,-0.0,0.0
-0.0,0.0,6.975422820077419,0.7708868329257713,0.0
-0.0,0.0,0.0,1.2425818482001834,0.0
-0.0,0.0,0.0,1.9178231176533038,0.0
-0.0,0.0,0.0,1.6479499999951805,0.0
-0.0,0.0,0.0,1.6156400000037685,0.0
-0.0,0.0,0.0,1.6213499999992929,0.0
-0.0,0.0,0.0,2.5825499999986645,0.0
-0.0,0.0,0.0,2.781359999999986,0.0
-0.0,0.0,0.0,1.5672800000007556,0.0
